#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:SequenceSimulator" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:SequenceSimulator" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:SequenceSimulator" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:SequenceSimulator" name="distribution" x="@birthRate.t:SequenceSimulator">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:SequenceSimulator" name="distribution">
#            <parameter id="kappa.s:SequenceSimulator" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:SequenceSimulator" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:SequenceSimulator" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SequenceSimulator" id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SequenceSimulator">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:SequenceSimulator" kappa="@kappa.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:SequenceSimulator" id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SequenceSimulator" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SequenceSimulator" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	gammaShape	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-31654.267430158878	-31648.295896798998	-5.971533359880199	-31648.295896798998	1.461968114884354	-3.106173325905912	1.0	2.0	1.0	0.25	0.25	0.25	0.25
1000	-28222.14686102445	-28218.599448030178	-3.5474129942687	-28218.599448030178	0.17967568348493299	0.7495891064926032	5.198089260140967	3.776629140451899	1.791486442870471	0.25	0.25	0.24978907945614778	0.2502109205438522
2000	-28226.02721066088	-28222.473028615233	-3.554182045646418	-28222.473028615233	0.1752718470329357	0.7428200551148847	5.586218724428986	3.776629140451899	1.791486442870471	0.24479498811517128	0.25273156295806926	0.2522625283829072	0.2502109205438522
3000	-28226.472703530097	-28222.727424004224	-3.74527952587124	-28222.727424004224	0.179715457819041	0.5517225748900629	6.5976386825744875	3.776629140451899	1.791486442870471	0.24449969336186622	0.25302685771137434	0.24785054135665263	0.25462290757010675
4000	-28225.579801862958	-28221.94414188966	-3.635659973295918	-28221.94414188966	0.19038868601327208	0.6841668986573006	3.514090109806558	3.776629140451899	1.8143112140623867	0.24449969336186622	0.25302685771137434	0.24785054135665263	0.25462290757010675
5000	-28222.54763943858	-28218.278103197354	-4.2695362412283435	-28218.278103197354	0.18384043688524307	-0.14374729744018067	1.2855444684981903	3.776629140451899	1.620273285897331	0.24711090376742098	0.25302685771137434	0.24785054135665263	0.25201169716455196
6000	-28224.166810034298	-28220.536514476305	-3.6302955579926275	-28220.536514476305	0.18027829917853358	0.4954933857955357	2.19221491486365	3.776629140451899	1.620273285897331	0.24711090376742098	0.25302685771137434	0.24785054135665263	0.25201169716455196
7000	-28224.988125732183	-28218.82040610967	-6.167719622515139	-28218.82040610967	0.18829995750580145	-2.041930678726976	14.50538119856581	3.776629140451899	1.620273285897331	0.2544490668898863	0.2551958419192228	0.24785054135665263	0.24250454983423825
8000	-28216.595204946752	-28213.137350843244	-3.4578541035073505	-28213.137350843244	0.17943267990193915	0.7729652036528454	3.2680938863837476	4.111127705628041	1.620273285897331	0.2544490668898863	0.2551958419192228	0.24785054135665263	0.24250454983423825
9000	-28216.543090344057	-28212.93994658039	-3.603143763668388	-28212.93994658039	0.19206197205602232	-0.0704961485603528	8.12458772784045	4.111127705628041	0.9221015938451703	0.2544490668898863	0.2551958419192228	0.24785054135665263	0.24250454983423825
10000	-28208.931325802638	-28204.53298899255	-4.398336810087933	-28204.53298899255	0.20117728077716865	-0.5376139301012217	8.96476095601966	5.248768465424478	0.9221015938451703	0.2544490668898863	0.2551958419192228	0.24785054135665263	0.24250454983423825
11000	-28208.509833395903	-28203.735425018484	-4.774408377421338	-28203.735425018484	0.20608518425697403	-0.9136854974346269	9.883898989335293	5.248768465424478	0.9221015938451703	0.2544490668898863	0.2551958419192228	0.24785054135665263	0.24250454983423825
12000	-28206.22951127038	-28202.90666260055	-3.3228486698275215	-28202.90666260055	0.20693609132843002	0.5378742101591902	3.6564384674295796	5.248768465424478	0.9221015938451703	0.2519781540041291	0.2551958419192228	0.2503214542424098	0.24250454983423825
13000	-28207.172130482268	-28203.73210683078	-3.440023651490081	-28203.73210683078	0.20693609132843002	0.42069922849663044	4.8912465952033495	5.248768465424478	0.9221015938451703	0.24891983413207275	0.25503875040568663	0.2535368656280023	0.24250454983423825
14000	-28206.31020291935	-28202.71047901232	-3.599723907031192	-28202.71047901232	0.2065920933839237	0.26099897295551955	5.798540243997267	5.248768465424478	0.9221015938451703	0.24891983413207275	0.25503875040568663	0.25031584043659755	0.245725575025643
